date,rider_id,trip_id,city_id,status
2019-06-01,348,1,8,completed
2019-06-01,1729,2,5,completed
2019-06-01,5265,3,4,completed
2019-06-01,2098,4,4,completed
2019-06-01,4942,5,8,completed
2019-06-01,5424,6,11,completed
2019-06-01,4269,7,7,completed
2019-06-01,5649,8,1,completed
2019-06-01,2385,9,6,completed
2019-06-01,5161,10,8,completed
2019-06-01,571,11,8,completed
2019-06-01,5072,12,9,completed
2019-06-01,1233,13,5,completed
2019-06-01,2490,14,5,completed
2019-06-01,5665,15,9,completed
2019-06-01,1400,16,2,completed
2019-06-01,3324,17,4,completed
2019-06-01,2533,18,13,completed
2019-06-01,5314,19,11,completed
2019-06-01,4773,20,12,completed
2019-06-01,5544,21,2,completed
2019-06-01,1232,22,5,completed
2019-06-01,4993,23,9,completed
2019-06-01,5073,24,9,completed
2019-06-01,2788,25,12,completed
2019-06-01,384,26,1,completed
2019-06-01,3510,27,9,completed
2019-06-01,4012,28,2,completed
2019-06-01,5544,29,2,completed
2019-06-01,5037,30,11,completed
2019-06-01,1472,31,1,completed
2019-06-01,826,32,5,completed
2019-06-01,4941,33,8,completed
2019-06-01,1604,34,10,completed
2019-06-01,623,35,10,completed
2019-06-01,3969,36,9,completed
2019-06-01,3810,37,2,completed
2019-06-01,4022,38,1,completed
2019-06-01,376,39,2,completed
2019-06-01,841,40,2,completed
2019-06-01,2622,41,10,completed
2019-06-01,1598,42,5,completed
2019-06-01,607,43,9,completed
2019-06-01,3207,44,13,completed
2019-06-01,3555,45,13,completed
2019-06-01,5264,46,4,completed
2019-06-01,3091,47,4,completed
2019-06-01,5543,48,2,completed
2019-06-01,2156,49,10,completed
2019-06-01,472,50,9,completed
2019-06-01,3898,51,6,completed
2019-06-01,2260,52,7,completed
2019-06-01,1075,53,2,completed
2019-06-01,5102,54,1,completed
2019-06-01,242,55,4,completed
2019-06-01,4762,56,3,completed
2019-06-01,385,57,1,completed
2019-06-01,401,58,1,completed
2019-06-01,2733,59,6,completed
2019-06-01,944,60,6,completed
2019-06-01,3850,61,8,completed
2019-06-01,4575,62,1,completed
2019-06-01,4069,63,9,completed
2019-06-01,4461,64,11,completed
2019-06-01,4667,65,6,completed
2019-06-01,520,66,10,completed
2019-06-01,1399,67,2,completed
2019-06-01,4332,68,9,completed
2019-06-01,3266,69,1,completed
2019-06-01,2161,70,13,completed
2019-06-01,2699,71,12,completed
2019-06-01,4910,72,6,completed
2019-06-01,4879,73,6,completed
